row col disease moisture
19 6 0 8.18
19 7 0 8.22
19 8 0 7.74
19 9 0 8.22
19 10 0 8.03
19 11 0 7.41
19 12 0 8.12
19 13 0 7.49
19 14 0 6.17
19 15 0 6.44
19 16 0 6.67
19 17 0 6.52
19 18 0 6.45
19 19 0 7.01
19 20 0 6.83
20 1 0 7.02
20 2 0 9.63
20 3 0 6.92
20 4 0 6.98
20 5 0 7.97
20 6 0 6.73
20 7 0 7.53
20 8 0 6.38
20 9 1 6.73
20 10 0 7.16
20 11 0 6.69
20 12 0 6.34
20 13 0 6.27
20 14 0 6.11
20 15 0 5.64
20 16 0 6.64
20 17 0 6.56
20 18 0 5.65
20 19 0 5.94
20 20 0 5.59
